,Title,Product #,Released,Lowest,Average,Highest,URL
0,Cinderella,16900,1996,$1,$19,$55,http://www.barbiedb.com/wp-content/uploads/2020/05/16900-cinderella-776x1024.jpg
1,2019 Holiday,FXF01,2019,$9,$26,$67,http://www.barbiedb.com/wp-content/uploads/2021/08/fxf01-2019-holiday.jpg
2,The X-Files Giftset,19630,1998,$11,$28,$57,http://www.barbiedb.com/wp-content/uploads/2021/08/19630-1998-the-x-files-giftset.jpg
3,Winter in New York Barbie,19429,1998,$4,$26,$106,http://www.barbiedb.com/wp-content/uploads/2021/07/19429-1998-winter-in-new-york-barbie.jpg
4,Holiday Visions Winter Fantasy Barbie,B2519,2003,$1,$24,$98,http://www.barbiedb.com/wp-content/uploads/2021/05/holiday-visions-winter-fantasy-barbie.jpg
5,Ralph Lauren Barbie,15950,1996,$21,$48,$76,http://www.barbiedb.com/wp-content/uploads/2020/05/ralph-lauren-barbie.jpg
6,Holiday Celebration Barbie,56209,2002,$1,$48,$51,http://www.barbiedb.com/wp-content/uploads/2020/05/56209-2002-holiday-celebration-barbie-850x1024.jpg
7,40th Anniversary Barbie,21384,1999,$1,$48,$301,http://www.barbiedb.com/wp-content/uploads/2020/05/40th-anniversary-barbie.jpg
8,1959 The Original Teenage Fashion Model,N4974,2008,$19,$48,$90,http://www.barbiedb.com/wp-content/uploads/2022/02/n4974-2008-1959-the-original-teenage-fashion-model.jpg
9,Thai Barbie,18561,1997,$4,$48,$46,http://www.barbiedb.com/wp-content/uploads/2021/06/thai-barbie-dolls-of-the-world-483x1024.jpg
10,Splash Of Silver Barbie,P4752,2009,$199,$301,$516,http://www.barbiedb.com/wp-content/uploads/2020/05/splash-of-silver-barbie.jpg
11,Pinch of Platinum Barbie,T7680,2011,$175,$301,$275,http://www.barbiedb.com/wp-content/uploads/2020/05/pinch-of-platinum-barbie.jpg
12,Happy Holidays Barbie 1997 Brunette,17832,1997,$1,$301,$1201,http://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-1997-brunette.jpg
13,Flying Hero Barbie,14030,1995,$4,$301,$51,http://www.barbiedb.com/wp-content/uploads/2020/05/flying-hero-barbie.jpg
14,Barbie Sign Language,25837,1999,$17,$301,$73,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-sign-language.jpg
15,Barbie Hallmark Keepsake Ornament 1994,QX5216,1994,$1,$8,$31,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-hallmark-keepsake-ornament-1994.jpg
16,Barbie 1999 Happy Holidays Club Edition Hallmark Ornament,QXC4507,1999,$7,$8,$35,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1999-happy-holidays-club-edition-hallmark-ornament.jpg
17,Happy Holidays Barbie 1988,1703,1988,$40,$8,$401,http://www.barbiedb.com/wp-content/uploads/2020/05/1703-1988-happy-holidays-barbie-1988-720x1024.jpg
18,Evening Sophisticate Barbie,19361,1998,$10,$8,$70,http://www.barbiedb.com/wp-content/uploads/2020/05/evening-sophisticate-barbie.jpg
19,Water Lily Barbie,17783,1997,$23,$8,$101,http://www.barbiedb.com/wp-content/uploads/2021/06/water-lily-barbie-1024x924.jpg
20,Special 2000 Edition Celebration Barbie (AA),28270,2000,$4,$24,$75,http://www.barbiedb.com/wp-content/uploads/2020/05/special-2000-edition-celebration-barbie-aa.jpg
21,Happy Holidays Barbie,1429,1992,$1,$24,$601,http://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-1429.jpg
22,Bob Mackie Madame Du Barbie,17934,1997,$84,$24,$251,http://www.barbiedb.com/wp-content/uploads/2020/05/bob-mackie-madame-du-barbie.jpg
23,Barbie Little Zoo Pals gift set with Stacie and Kelly,19625,1998,$12,$24,$125,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-little-zoo-pals-gift-set-with-stacie-and-kelly.jpg
24,Barbie Fashion Fever Series Hilary Duff,K3777,2006,$17,$24,$45,http://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashion-fever-series-hilary-duff.jpg
25,NASCAR 50th Anniversary Barbie,20442,1998,$1,$9,$29,http://www.barbiedb.com/wp-content/uploads/2020/05/nascar-50th-anniversary-barbie.jpg
26,Marisa Beach Baby Barbie,G8080,2005,$30,$9,$100,http://www.barbiedb.com/wp-content/uploads/2020/05/marisa-beach-baby-barbie.jpg
27,Jude Deveraux The Raider Barbie & Ken,B1995,2003,$75,$9,$240,http://www.barbiedb.com/wp-content/uploads/2020/05/jude-deveraux-the-raider-barbie-ken.jpg
28,50th Golden Anniversary of Mattel Barbie,14479,1995,$15,$9,$200,http://www.barbiedb.com/wp-content/uploads/2020/05/50th-golden-anniversary-of-mattel-barbie.jpg
29,2018 Holiday Barbie,FRN69,2018,$49,$9,$200,http://www.barbiedb.com/wp-content/uploads/2021/08/frn69-2018-holiday-866x1024.jpg
30,Valentine Style Barbie,20465,1998,$5,$13,$19,http://www.barbiedb.com/wp-content/uploads/2021/08/20465-1998-valentine-style-barbie-422x1024.jpg
31,Victorian Lady,14900,1995,$7,$13,$35,http://www.barbiedb.com/wp-content/uploads/2021/07/14900-1995-victorian-lady-722x1024.jpg
32,Scorpio Barbie,C3825,2004,$14,$13,$46,http://www.barbiedb.com/wp-content/uploads/2020/05/scorpio-barbie.jpg
